UF;Sexo;Idade;Cor;Anos de Estudo;Renda;Altura
Rondônia;Homem;27;Branca;12;1325;1.607844631
Rondônia;Homem;50;Branca;8;1550;1.787377877
Rondônia;Homem;53;Amarela;8;1800;1.608399085
Rondônia;Homem;67;Preta;1;1500;1.763905316
Rondônia;Homem;52;Branca;12;20000;1.635818853
Rondônia;Homem;42;Parda;5;3000;1.738460556
Rondônia;Mulher;66;Branca;1;1600;1.826377869
Rondônia;Homem;47;Branca;4;788;1.738136803
Rondônia;Homem;60;Parda;9;1400;1.72215259
Rondônia;Homem;29;Branca;11;580;1.682925706
Rondônia;Homem;55;Branca;5;1500;1.727120107
Rondônia;Homem;55;Branca;5;1000;1.76526822
Rondônia;Homem;56;Branca;5;100;1.731027167
Rondônia;Homem;69;Branca;9;0;1.611123982
Rondônia;Homem;51;Branca;4;1000;1.615538212
Rondônia;Mulher;25;Parda;12;390;1.629709329
Rondônia;Homem;49;Parda;3;788;1.726483566
Rondônia;Homem;61;Preta;4;1800;1.538167873
Rondônia;Mulher;54;Parda;1;400;1.738933215
Rondônia;Homem;37;Parda;7;1500;1.651192628
Rondônia;Homem;39;Branca;9;2000;1.666723724
Rondônia;Homem;52;Branca;5;350;1.781144172
Rondônia;Homem;48;Branca;2;1600;1.71785355
Rondônia;Homem;40;Parda;8;1600;1.513863366
Rondônia;Homem;73;Branca;1;1000;1.553525857
Rondônia;Homem;49;Branca;3;788;1.72315498
Rondônia;Homem;45;Parda;16;3000;1.743084772
Rondônia;Homem;80;Branca;5;2000;1.66802203
Rondônia;Homem;45;Parda;12;10000;1.7471745
Rondônia;Mulher;34;Preta;16;900;1.777475303
Rondônia;Homem;65;Branca;7;6000;1.840835531
Rondônia;Mulher;23;Branca;15;1600;1.730926053
Rondônia;Homem;52;Branca;12;1300;1.723572813
Rondônia;Mulher;32;Parda;12;1400;1.559549881
Rondônia;Mulher;36;Parda;12;1400;1.729987752
Rondônia;Homem;28;Branca;16;3500;1.592238852
Rondônia;Homem;48;Branca;12;2500;1.636973911
Rondônia;Homem;36;Parda;12;1700;1.654289422
Rondônia;Homem;48;Branca;9;4500;1.732583823
Rondônia;Mulher;42;Branca;12;1700;1.627887329
Rondônia;Mulher;46;Branca;12;4124;1.718625846
Rondônia;Mulher;51;Parda;12;1500;1.59485698
Rondônia;Homem;26;Parda;12;1200;1.731993035
Rondônia;Homem;25;Parda;13;1000;1.871046059
Rondônia;Homem;27;Parda;12;1200;1.763705326
Rondônia;Homem;28;Parda;12;1600;1.579531361
Rondônia;Mulher;37;Parda;11;950;1.709822149
Rondônia;Homem;26;Parda;11;1500;1.674497651
Rondônia;Homem;27;Parda;11;1500;1.692249071
Rondônia;Homem;41;Parda;16;4000;1.706601775
Rondônia;Homem;49;Branca;6;900;1.772734561
Rondônia;Homem;32;Parda;16;6000;1.727408774
Rondônia;Homem;41;Preta;1;3000;1.778035651
Rondônia;Homem;30;Branca;16;6000;1.735782272
Rondônia;Homem;79;Branca;12;0;1.787522442
Rondônia;Homem;52;Parda;15;2200;1.789394412
Rondônia;Homem;36;Branca;12;2000;1.639359278
Rondônia;Homem;35;Parda;16;4000;1.738335643
Rondônia;Homem;50;Parda;1;1000;1.743165296
Rondônia;Homem;53;Parda;1;1400;1.554162354
Rondônia;Mulher;32;Parda;5;788;1.772603355
Rondônia;Mulher;36;Branca;9;788;1.677731391
Rondônia;Homem;52;Preta;9;1700;1.684526315
Rondônia;Homem;55;Parda;1;1000;1.727906955
Rondônia;Homem;42;Branca;16;3000;1.720236047
